Account,date,daily_pnl,classification,value,win_rate,avg_trade_size,num_trades,long_short_ratio,leverage_proxy,daily_volume,profit_per_trade,Crossed,frequency_segment,consistency_segment,profitable_day,leverage_segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,Extreme Greed,84.0,0.8363636363636363,2469.9509090909087,55,0.1702127659574468,10.048562208327564,135847.3,213.01714963636365,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,Extreme Greed,81.0,0.0,0.06,1,0.0,0.059561625838214484,0.06,0.0,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,Greed,72.0,0.0,1426.8700000000001,34,0.0,8.834108818408794,48513.58,0.0,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,Extreme Greed,75.0,0.9615384615384616,2001.101153846154,26,0.0,0.7475535394523132,52028.630000000005,135.1935025,0.038461538461538464,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,Extreme Greed,78.0,0.0,1131.888695652174,46,0.0,25.182786108055474,52066.88,0.0,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,Extreme Greed,78.0,0.984375,852.88625,64,0.0,0.9212401633616092,54584.72,39.340427890625,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,Extreme Greed,81.0,0.2542372881355932,1913.523898305085,59,2.933333333333333,19.285805530688638,112897.91,27.341794966101695,1.0,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,Extreme Greed,75.0,0.0,0.11,1,0.0,0.10947301551372954,0.11,0.0,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,Greed,74.0,0.6176470588235294,10051.199411764705,34,0.6190476190476191,1222.3762983187448,341740.77999999997,36.63289735294118,1.0,frequent,consistent,True,high_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,Greed,61.0,0.0,2845.9646153846156,13,0.0,1612.627028389205,36997.54,0.0,1.0,frequent,consistent,False,high_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,Extreme Greed,75.0,1.0,2440.6282352941175,17,0.0,0.022693280744404253,41490.68,264.30779288235294,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,Extreme Greed,77.0,0.717948717948718,2154.3915384615384,39,0.3448275862068966,3.98684805049822,84021.26999999999,26.84694851282051,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,Extreme Greed,77.0,0.6451612903225806,2194.294758064516,124,0.5308641975308642,31.381031172963887,272092.55,39.04882513709678,1.0,frequent,consistent,True,medium_leverage
